✅ Backend database initialized
 * Serving Flask app 'server'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.11.7.165:5000
Press CTRL+C to quit
127.0.0.1 - - [15/Apr/2026 07:38:09] "GET /api/laporan/38 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:39] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:40] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:40] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:40] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:40] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:40] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:40] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:49] "HEAD /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:49] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:49] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:49] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:49] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:50] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:50] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:57] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:57] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:57] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:57] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:57] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:40:57] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:03] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:03] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:03] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:03] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:03] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:03] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:15] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:15] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:15] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:15] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:15] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:15] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:18] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:18] "GET /api/laporan?page=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:19] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:19] "GET /api/laporan?page=3 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:20] "GET /api/laporan?page=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:20] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:22] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:41:22] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:47:16] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:47:18] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:47:18] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:47:18] "GET /api/stats HTTP/1.1" 200 -
